X,Y,Z
1900.0,600.0,905.4
2000.0,600.0,903.3
0.0,700.0,922.5
100.0,700.0,928.0
200.0,700.0,933.3
300.0,700.0,938.0
400.0,700.0,941.9
500.0,700.0,944.9
600.0,700.0,946.8
700.0,700.0,947.5
800.0,700.0,947.0
900.0,700.0,945.2
1000.0,700.0,942.4
1100.0,700.0,938.6
1200.0,700.0,933.9
1300.0,700.0,928.8
1400.0,700.0,923.3
1500.0,700.0,917.7
1600.0,700.0,912.5
1700.0,700.0,907.7
1800.0,700.0,903.6
1900.0,700.0,900.5
2000.0,700.0,898.4
0.0,800.0,918.2
100.0,800.0,923.7
200.0,800.0,928.9
300.0,800.0,933.7
400.0,800.0,937.6
500.0,800.0,940.6
600.0,800.0,942.5
700.0,800.0,943.2
800.0,800.0,942.7
900.0,800.0,940.9
1000.0,800.0,938.1
1100.0,800.0,934.3
1200.0,800.0,929.6
1300.0,800.0,924.5
1400.0,800.0,919.0
1500.0,800.0,913.4
1600.0,800.0,908.1
1700.0,800.0,903.3
1800.0,800.0,899.3
1900.0,800.0,896.1
2000.0,800.0,894.1
0.0,900.0,914.8
100.0,900.0,920.4
200.0,900.0,925.6
300.0,900.0,930.3
400.0,900.0,934.3
500.0,900.0,937.3
600.0,900.0,939.1
700.0,900.0,939.8
800.0,900.0,939.3
900.0,900.0,937.6
1000.0,900.0,934.7
1100.0,900.0,930.9
1200.0,900.0,926.3
1300.0,900.0,921.1
1400.0,900.0,915.6
1500.0,900.0,910.1
1600.0,900.0,904.8
1700.0,900.0,900.0
1800.0,900.0,895.9
1900.0,900.0,892.8
2000.0,900.0,890.7
0.0,1000.0,912.7
100.0,1000.0,918.2
200.0,1000.0,923.5
300.0,1000.0,928.2
400.0,1000.0,932.1
500.0,1000.0,935.1
600.0,1000.0,937.0
700.0,1000.0,937.7
800.0,1000.0,937.2
900.0,1000.0,935.5
1000.0,1000.0,932.6
1100.0,1000.0,928.8
1200.0,1000.0,924.2
1300.0,1000.0,919.0
1400.0,1000.0,913.5
1500.0,1000.0,908.0
1600.0,1000.0,902.7
1700.0,1000.0,897.9
1800.0,1000.0,893.8
1900.0,1000.0,890.7
2000.0,1000.0,888.6
0.0,1100.0,912.0
100.0,1100.0,917.5
200.0,1100.0,922.7
300.0,1100.0,927.5
400.0,1100.0,931.4
500.0,1100.0,934.4
600.0,1100.0,936.3
700.0,1100.0,937.0
800.0,1100.0,936.5
900.0,1100.0,934.7
1000.0,1100.0,931.9
1100.0,1100.0,928.1
1200.0,1100.0,923.4
1300.0,1100.0,918.3
1400.0,1100.0,912.8
1500.0,1100.0,907.2
1600.0,1100.0,901.9
1700.0,1100.0,897.1
1800.0,1100.0,893.1
1900.0,1100.0,889.9
2000.0,1100.0,887.9
0.0,1200.0,912.7
100.0,1200.0,918.2
200.0,1200.0,923.5
300.0,1200.0,928.2
400.0,1200.0,932.1
500.0,1200.0,935.1
600.0,1200.0,937.0
700.0,1200.0,937.7
800.0,1200.0,937.2
900.0,1200.0,935.5
1000.0,1200.0,932.6
1100.0,1200.0,928.8
1200.0,1200.0,924.2
1300.0,1200.0,919.0
1400.0,1200.0,913.5
1500.0,1200.0,908.0
1600.0,1200.0,902.7
1700.0,1200.0,897.9
1800.0,1200.0,893.8
1900.0,1200.0,890.7
2000.0,1200.0,888.6
0.0,1300.0,914.9
100.0,1300.0,920.4
200.0,1300.0,925.6
300.0,1300.0,930.3
400.0,1300.0,934.3
500.0,1300.0,937.3
600.0,1300.0,939.2
700.0,1300.0,939.9
800.0,1300.0,939.3
900.0,1300.0,937.6
1000.0,1300.0,934.8
1100.0,1300.0,930.9
1200.0,1300.0,926.3
1300.0,1300.0,921.1
1400.0,1300.0,915.6
1500.0,1300.0,910.1
1600.0,1300.0,904.8
1700.0,1300.0,900.0
1800.0,1300.0,896.0
1900.0,1300.0,892.8
2000.0,1300.0,890.8
0.0,1400.0,918.2
100.0,1400.0,923.7
200.0,1400.0,929.0
300.0,1400.0,933.7
400.0,1400.0,937.6
500.0,1400.0,940.6
600.0,1400.0,942.5
700.0,1400.0,943.2
800.0,1400.0,942.7
900.0,1400.0,941.0
1000.0,1400.0,938.1
1100.0,1400.0,934.3
1200.0,1400.0,929.7
1300.0,1400.0,924.5
1400.0,1400.0,919.0
1500.0,1400.0,913.5
1600.0,1400.0,908.2
1700.0,1400.0,903.4
1800.0,1400.0,899.3
1900.0,1400.0,896.2
2000.0,1400.0,894.1
